time,accel,temperature,pressure
25600,37.227943420410156,38.8125,101831.25
25650,37.00515365600586,38.875,101794.0
25700,36.56393051147461,38.9375,101768.5
25750,34.99092483520508,38.9375,101746.5
25800,34.65713119506836,38.75,101733.0
25850,34.50504684448242,38.875,101714.25
25900,33.91611862182617,38.875,101684.5
25950,33.22003173828125,38.875,101650.5
26000,32.56765365600586,38.8125,101613.0
26050,31.997900009155273,38.875,101632.25
26100,31.89023780822754,38.8125,101594.5
26150,31.189878463745117,38.9375,101563.0
26200,31.69880485534668,38.9375,101577.75
26250,29.763132095336914,38.8125,101456.25
26300,29.98961067199707,38.875,101486.0
26350,29.437660217285156,38.75,101482.75
26400,29.370281219482422,38.8125,101396.5
26450,17.387361526489258,39.0,101387.25
26500,1.3818174600601196,39.0,101363.25
26550,6.827081203460693,39.0,101368.25
26600,7.118795394897461,38.8125,101361.25
26650,6.808900833129883,38.9375,101338.0
26700,6.753842353820801,39.0,101272.75
26750,6.677617073059082,38.9375,101274.0
26800,6.2769598960876465,38.9375,101283.75
26850,6.168445110321045,38.875,101229.25
26900,6.29022741317749,39.0625,101190.25
26950,5.86739444732666,38.9375,101209.25
27000,5.778981685638428,39.0,101151.5
27050,5.60910701751709,38.9375,101158.0
27100,5.571084499359131,38.875,101139.75
27150,5.312159061431885,39.0,101100.5
27200,5.109053611755371,38.9375,101088.75
27250,5.006224632263184,38.9375,101065.5
27300,5.061240196228027,38.875,101017.0
27350,4.555832862854004,38.875,101040.75
27400,4.447784900665283,38.8125,100951.0
27450,4.30822229385376,38.9375,100972.5
27500,4.259354114532471,38.875,100992.25
27550,4.030004024505615,38.9375,100921.75
27600,3.820281744003296,38.9375,100885.25
27650,3.7354581356048584,38.9375,100909.5
27700,3.623793363571167,39.0625,100881.0
27750,3.5441172122955322,38.9375,100853.5
27800,3.3576371669769287,38.8125,100814.5
27850,3.3530995845794678,38.875,100844.5
27900,3.1498234272003174,38.9375,100808.75
27950,3.0439486503601074,39.0,100803.0
28000,3.01068377494812,38.9375,100763.5
28050,3.0285732746124268,38.8125,100756.25
28100,2.858849048614502,38.8125,100756.0
28150,2.7075278759002686,38.875,100729.0
28200,2.755225658416748,39.0,100682.0
28250,2.4424238204956055,39.0,100690.75
28300,2.4421796798706055,38.875,100592.5
28350,2.3367602825164795,38.875,100609.5
28400,2.2870328426361084,38.875,100618.5
28450,2.1495184898376465,38.9375,100568.5
28500,2.010718822479248,38.9375,100543.5
28550,1.9807096719741821,38.8125,100545.5
28600,1.9221965074539185,38.9375,100514.0
28650,1.905423641204834,38.875,100536.25
28700,1.8234703540802002,38.9375,100495.0
28750,1.7475770711898804,38.875,100486.75
28800,1.7318404912948608,38.875,100436.5
28850,1.642443299293518,39.0,100477.0
28900,1.5421037673950195,38.875,100473.0
28950,1.659249186515808,38.9375,100407.5
29000,1.4112391471862793,38.875,100409.0
29050,1.3155131340026855,39.125,100387.5
29100,1.3170112371444702,38.875,100368.5
29150,1.3384593725204468,38.9375,100326.25
29200,1.2410743236541748,38.875,100294.75
29250,1.1204863786697388,39.0,100331.75
29300,1.0975371599197388,38.8125,100312.5
29350,1.2550368309020996,38.9375,100288.25
